Car;Total;Front;Rear;Distribution;Battery
Mercedes EQV - 7 seater;2960;1580;1380;53/47;100 kWh
Hongqi E-HS9 - 99 kWh 6 seater;2780;1300;1480;47/53;99 kWh
Mercedes EQS - 580 4Matic;2760;1360;1400;49/51;120 kWh
Audi e-tron - 55;2720;1360;1360;50/50;95 kWh
BMW iX - xDrive50;2720;1280;1440;47/53;111 kWh
Mercedes EQE - 43 AMG;2640;1320;1320;50/50;100 kWh
Mercedes EQC;2620;1240;1380;47/53;~90 kWh
Mercedes EQE - 53 4Matic+;2620;1320;1300;50/50;100 kWh
Mercedes EQS - 450+;2620;1240;1380;47/53;120 kWh
VW ID Buzz - 82 kWh;2600;1280;1320;49/51;82 kWh
BYD Tang;2580;1240;1340;48/52;86.4 kWh
Nio ES8 - 100 kWh 6 seater;2580;1260;1320;49/51;100 kWh
Audi e-tron - 50;2560;1300;1260;51/49;71 kWh
BMW iX - xDrive40;2540;1220;1320;48/52;76.6 kWh
Audi e-tron - 50 Sportback;2520;1280;1240;51/49;71 kWh
Citroen e-Spacetourer - 7 seater;2520;1360;1160;54/46;75 kWh
Mercedes EQE - 300;2480;1200;1280;48/52;100 kWh
VW ID Buzz - Cargo 82 kWh;2460;1240;1220;50/50;82 kWh
Polestar 1;2440;1160;1280;48/52;34 kWh
Porsche Taycan - Cross Turismo 4;2440;1200;1240;49/51;93 kWh
Audi e-tron - GT;2420;1200;1220;50/50;93 kWh
Voyah Free;2420;1200;1220;50/50;107 kWh
BMW i4 - M50;2400;1140;1260;48/53;84 kWh
Porsche Taycan - 4S 93 kWh;2380;1180;1200;50/50;93,4 kWh
Tesla Model S - Performance Raven;2360;1200;1160;51/49;100 kWh
VW ID4 - GTX;2360;1160;1200;49/51;82 kWh
VW ID5 - GTX;2360;1160;1200;49/51;82 kWh
Jaguar I-Pace - 90 kWh;2340;1240;1100;53/47;90 kWh
Jaguar I-Pace - EV320;2340;1240;1100;53/47;90 kWh
Skoda Enyaq - Coupé RS;2340;1180;1160;50/50;82 kWh
Porsche Taycan - 4S 79 kWh;2320;1180;1140;51/49;79 kWh
BMW iX3;2300;1000;1300;43/57;80 kWh
Ford Mustang - Mach-E LR AWD;2300;1120;1180;49/51;99 kWh
Volvo XC40 - AWD;2300;1180;1120;51/49;78 kWh
Mercedes EQB - 350 4Matic;2280;1120;1160;49/51;79.8 kWh
Skoda Enyaq - iV 80;2280;1080;1200;47/53;82 kWh
Volvo C40 - AWD;2280;1160;1120;51/49;78 kWh
Audi Q4 e-tron - 40;2260;1060;1200;47/53;82 kWh
VW ID4 - Max;2260;1060;1200;47/53;82 kWh
Tesla Model S - LR Raven;2240;1160;1080;52/48;100 kWh
Tesla Model S - P85 7 seater;2240;1060;1180;47/53;85 kWh
VW ID4 - 1st;2220;1060;1160;48/52;82 kWh
Polestar 2;2240;1140;1100;51/49;78 kWh
Xpeng P7 - Performance Wing Edition;2240;1080;1160;48/52;80.9 kWh
