Car;Surface;Temp;Tires;Season;WheelFront;WheelRear;Speed;WhPerKm;Capacity;Range100;Mi;Range75;ChargingTime75;KmPerH75
BMW i3 - s 120 Ah;Dry;2;Nokian R3;Winter;155/70-19;155/70-19;90;163;38;225;140;146;35;251
BMW i3 - s 120 Ah;Dry;2;Nokian R3;Winter;155/70-19;155/70-19;120;231;38;165;102;107;35;184
Hyundai Ioniq - 28 kWh;Wet;-3;Nokian R3;Winter;205/55-16;205/55-16;90;156;28;180;112;117;18;390
Hyundai Ioniq - 28 kWh;Wet;-3;Nokian R3;Winter;205/55-16;205/55-16;120;206;28;135;84;88;18;293
Kia e-Niro - 64 kWh;Wet;-2;Continental VC7;Winter;215/55-17;215/55-17;90;180;65;375;233;244;42;348
Kia Soul - 30 kWh;Wet;-5;Nokian R3;Winter;205/60-16;205/60-16;90;198;29;145;90;94;;
Kia Soul - 30 kWh;Wet;-5;Nokian R3;Winter;205/60-16;205/60-16;120;268;29;110;68;72;;
Nissan Leaf - 40 kWh;Wet;-3;Continental VC6;Winter;215/50-17;215/50-17;90;178;37;200;124;130;;
VW e-Up - 18.7 kWh;Dry;2;Pirelli Ice Zero Fr;Winter;175/65-14;175/65-14;90;156;15,5;100;62;65;;
VW e-Up - 18.7 kWh;Dry;2;Pirelli Ice Zero Fr;Winter;175/65-14;175/65-14;120;206;15,5;75;47;49;;
VW e-Golf - 35.8 kWh;Dry;0;Hankook;Winter;205/55-16;205/55-16;120;214;29;136;84;88;31;171
VW e-Golf - 35.8 kWh;Dry;0;Hankook;Winter;205/55-16;205/55-16;90;149;29;190;118;124;31;239
Tesla Model X - 60D;Dry;10;;Summer;;;90;172;56,6;320;199;208;28;446
Jaguar I-Pace - 90 kWh;Dry;8;;Summer;245/50-20;245/50-20;90;214;81,8;382;237;248;45;331
Tesla Model S - P100DL;Dry;15;Michelin PS;Summer;245/35-21;245/35-21;90;178;92;515;320;335;34;591
Kia e-Niro - 64 kWh;Dry;26;;Summer;;;90;131;65;500;311;325;42;464
Opel Ampera-e;Dry;20;;Summer;;;90;144;57;395;245;257;;
Opel Ampera-e;Dry;20;;Summer;;;120;208;57;275;171;179;;
Hyundai Kona - 64 kWh;Dry;25;Nexen;Summer;;;90;127;65;510;317;332;42;474
Hyundai Kona - 64 kWh;Dry;28;Nexen;Summer;;;120;189;65;345;214;224;42;320
Audi e-tron - 55;Wet;-5;Nokian R3;Winter;255/55-19;255/55-19;90;253;82,6;330;205;215;24;536
Audi e-tron - 55;Wet;-5;Nokian R3;Winter;255/55-19;255/55-19;120;321;82,6;257;160;167;24;418
Hyundai Kona - 64 kWh;Wet;-15;Nokian R3;Winter;215/55-17;215/55-17;90;195;64;330;205;215;42;306
Hyundai Kona - 64 kWh;Wet;-13;Nokian R3;Winter;215/55-17;215/55-17;120;256;64;250;155;163;42;232
VW e-Crafter;Wet;-3;Nokian CR3;Winter;205/75-16;205/75-16;90;363;31,5;87;54;57;31;109
Nissan e-NV200 - 40 kWh;Wet;-5;Continental VC6;Winter;185/65-15;185/65-15;90;227;37;163;101;106;;
Nissan e-NV200 - 40 kWh;Wet;-5;Continental VC6;Winter;185/65-15;185/65-15;120;327;37;113;70;73;;
Mitsubishi i-MiEV;Wet;0;Continental VC6;Winter;175/55-15;175/55-15;90;176;14,5;82;51;53;;
Mitsubishi i-MiEV;Wet;0;Continental VC6;Winter;175/55-15;175/55-15;120;251;14,5;58;36;38;;
Jaguar I-Pace - 90 kWh;Wet;3;Continental VC6;Winter;255/50-20;255/50-20;90;229;81,8;357;222;232;45;309
Jaguar I-Pace - 90 kWh;Wet;3;Continental VC6;Winter;255/50-20;255/50-20;120;311;81,8;263;163;171;45;228
Tesla Model 3 - Performance;Dry;5;Nokian R3;Winter;235/35-20;235/35-20;90;171;74;433;269;281;21;804
